import time: self [us] | cumulative | imported package
import time:      1338 |       1338 |           stripe.billing_portal._configuration_service
import time:       803 |        803 |           stripe.billing_portal._session
import time:       506 |        506 |           stripe.billing_portal._session_service
import time:       245 |       4578 |         stripe.billing_portal
import time:        14 |       4591 |       stripe.billing_portal._configuration_service
import time:       346 |       4937 |     stripe._billing_portal_service
import time:      2863 |       2863 |       stripe._charge
import time:       632 |       3494 |     stripe._charge_service
import time:      7222 |       7222 |           stripe.checkout._session
import time:       309 |        309 |             stripe._line_item
import time:       429 |        737 |           stripe.checkout._session_line_item_service
import time:      3898 |       3898 |           stripe.checkout._session_service
import time:       234 |      12090 |         stripe.checkout
import time:        17 |      12106 |       stripe.checkout._session_service
import time:       448 |      12553 |     stripe._checkout_service
import time:       916 |        916 |           stripe.climate._order
import time:       404 |        404 |           stripe.climate._order_service
import time:       351 |        351 |           stripe.climate._product
import time:       326 |        326 |           stripe.climate._product_service
import time:       402 |        402 |           stripe.climate._supplier
import time:       271 |        271 |           stripe.climate._supplier_service
import time:       269 |       2936 |         stripe.climate
import time:        14 |       2949 |       stripe.climate._order_service
import time:       272 |       3221 |     stripe._climate_service
import time:      3001 |       3001 |       stripe._confirmation_token
import time:       339 |       3339 |     stripe._confirmation_token_service
import time:      2389 |       2389 |                   stripe.issuing._authorization
import time:       431 |        431 |                   stripe.issuing._authorization_service
import time:      1962 |       1962 |                   stripe.issuing._card
import time:       974 |        974 |                   stripe.issuing._card_service
import time:      1568 |       1568 |                   stripe.issuing._cardholder
import time:      1225 |       1225 |                   stripe.issuing._cardholder_service
import time:      1322 |       1322 |                   stripe.issuing._dispute
import time:      1373 |       1373 |                   stripe.issuing._dispute_service
import time:       847 |        847 |                   stripe.issuing._personalization_design
import time:       553 |        553 |                   stripe.issuing._personalization_design_service
import time:       461 |        461 |                   stripe.issuing._physical_bundle
import time:       312 |        312 |                   stripe.issuing._physical_bundle_service
import time:       607 |        607 |                   stripe.issuing._token
import time:       331 |        331 |                   stripe.issuing._token_service
import time:      1722 |       1722 |                   stripe.issuing._transaction
import time:       369 |        369 |                   stripe.issuing._transaction_service
import time:       352 |      16790 |                 stripe.issuing
import time:        15 |      16804 |               stripe.issuing._authorization
import time:      1309 |      18113 |             stripe.test_helpers.issuing._authorization_service
import time:       328 |        328 |             stripe.test_helpers.issuing._card_service
import time:       537 |        537 |             stripe.test_helpers.issuing._personalization_design_service
import time:      1094 |       1094 |             stripe.test_helpers.issuing._transaction_service
import time:       322 |      20392 |           stripe.test_helpers.issuing
import time:      2393 |       2393 |                   stripe.terminal._configuration
import time:      1683 |       1683 |                   stripe.terminal._configuration_service
import time:       314 |        314 |                   stripe.terminal._connection_token
import time:       267 |        267 |                   stripe.terminal._connection_token_service
import time:       516 |        516 |                   stripe.terminal._location
import time:       398 |        398 |                   stripe.terminal._location_service
import time:      1843 |       1843 |                   stripe.terminal._reader
import time:      1262 |       1262 |                   stripe.terminal._reader_service
import time:       282 |       8954 |                 stripe.terminal
import time:        15 |       8969 |               stripe.terminal._reader
import time:       571 |       9539 |             stripe.test_helpers.terminal._reader_service
import time:       280 |       9818 |           stripe.test_helpers.terminal
import time:       623 |        623 |                   stripe.treasury._credit_reversal
import time:       317 |        317 |                   stripe.treasury._credit_reversal_service
import time:       492 |        492 |                   stripe.treasury._debit_reversal
import time:       329 |        329 |                   stripe.treasury._debit_reversal_service
import time:      1594 |       1594 |                   stripe.treasury._financial_account
import time:       543 |        543 |                   stripe.treasury._financial_account_features
import time:       520 |        520 |                   stripe.treasury._financial_account_features_service
import time:      1010 |       1010 |                   stripe.treasury._financial_account_service
import time:       786 |        786 |                   stripe.treasury._inbound_transfer
import time:       330 |        330 |                   stripe.treasury._inbound_transfer_service
import time:      1095 |       1095 |                   stripe.treasury._outbound_payment
import time:       541 |        541 |                   stripe.treasury._outbound_payment_service
import time:       877 |        877 |                   stripe.treasury._outbound_transfer
import time:       478 |        478 |                   stripe.treasury._outbound_transfer_service
import time:       714 |        714 |                   stripe.treasury._received_credit
import time:       304 |        304 |                   stripe.treasury._received_credit_service
import time:       544 |        544 |                   stripe.treasury._received_debit
import time:       322 |        322 |                   stripe.treasury._received_debit_service
import time:       592 |        592 |                   stripe.treasury._transaction
import time:       453 |        453 |                   stripe.treasury._transaction_entry
import time:       350 |        350 |                   stripe.treasury._transaction_entry_service
import time:       368 |        368 |                   stripe.treasury._transaction_service
import time:       354 |      13526 |                 stripe.treasury
import time:        14 |      13540 |               stripe.treasury._inbound_transfer
import time:       541 |      14080 |             stripe.test_helpers.treasury._inbound_transfer_service
import time:       438 |        438 |             stripe.test_helpers.treasury._outbound_payment_service
import time:       378 |        378 |             stripe.test_helpers.treasury._outbound_transfer_service
import time:       316 |        316 |             stripe.test_helpers.treasury._received_credit_service
import time:       310 |        310 |             stripe.test_helpers.treasury._received_debit_service
import time:       290 |      15809 |           stripe.test_helpers.treasury
import time:      2052 |       2052 |           stripe.test_helpers._confirmation_token_service
import time:       482 |        482 |             stripe._customer_cash_balance_transaction
import time:       285 |        766 |           stripe.test_helpers._customer_service
import time:       248 |        248 |           stripe.test_helpers._issuing_service
import time:      1127 |       1127 |             stripe._refund
import time:       264 |       1390 |           stripe.test_helpers._refund_service
import time:       252 |        252 |           stripe.test_helpers._terminal_service
import time:       466 |        466 |           stripe.test_helpers._test_clock
import time:       329 |        329 |           stripe.test_helpers._test_clock_service
import time:       248 |        248 |           stripe.test_helpers._treasury_service
import time:       267 |      52031 |         stripe.test_helpers
import time:        15 |      52046 |       stripe.test_helpers._confirmation_token_service
import time:      1356 |      53402 |     stripe._test_helpers_service
import time:       422 |        422 |       stripe._country_spec
import time:       322 |        743 |     stripe._country_spec_service
import time:       760 |        760 |       stripe._coupon
import time:       449 |       1209 |     stripe._coupon_service
import time:      1310 |       1310 |       stripe._credit_note
import time:       459 |        459 |         stripe._credit_note_line_item
import time:       279 |        738 |       stripe._credit_note_line_item_service
import time:       446 |        446 |       stripe._credit_note_preview_lines_service
import time:       642 |       3134 |     stripe._credit_note_service
import time:       351 |        351 |         stripe._customer_balance_transaction
import time:       350 |        700 |       stripe._customer_balance_transaction_service
import time:       348 |        348 |         stripe._cash_balance
import time:       326 |        674 |       stripe._customer_cash_balance_service
import time:       287 |        287 |       stripe._customer_cash_balance_transaction_service
import time:       480 |        480 |         stripe._funding_instructions
import time:       335 |        815 |       stripe._customer_funding_instructions_service
import time:      3101 |       3101 |         stripe._payment_method
import time:       324 |       3425 |       stripe._customer_payment_method_service
import time:      1683 |       1683 |         stripe._source
import time:       517 |       2200 |       stripe._customer_payment_source_service
import time:       654 |        654 |         stripe._tax_id
import time:       363 |       1017 |       stripe._customer_tax_id_service
import time:       353 |        353 |       stripe._discount
import time:       999 |      10466 |     stripe._customer_service
import time:       509 |        509 |       stripe._customer_session
import time:       866 |       1374 |     stripe._customer_session_service
import time:       990 |        990 |       stripe._dispute
import time:      8087 |       9077 |     stripe._dispute_service
import time:       613 |        613 |           stripe.entitlements._active_entitlement
import time:       335 |        335 |           stripe.entitlements._active_entitlement_service
import time:       331 |        331 |           stripe.entitlements._active_entitlement_summary
import time:       407 |        407 |           stripe.entitlements._feature
import time:       335 |        335 |           stripe.entitlements._feature_service
import time:       291 |       2310 |         stripe.entitlements
import time:        15 |       2324 |       stripe.entitlements._active_entitlement_service
import time:       354 |       2677 |     stripe._entitlements_service
import time:       385 |        385 |       stripe._ephemeral_key
import time:       295 |        680 |     stripe._ephemeral_key_service
import time:       311 |        311 |     stripe._event_service
import time:       331 |        331 |       stripe._exchange_rate
import time:       285 |        616 |     stripe._exchange_rate_service
import time:       461 |        461 |       stripe._file
import time:       403 |        864 |     stripe._file_service
import time:       438 |        438 |       stripe._file_link
import time:       353 |        791 |     stripe._file_link_service
import time:      1070 |       1070 |           stripe.financial_connections._account
import time:       275 |        275 |           stripe.financial_connections._account_owner
import time:       289 |        289 |           stripe.financial_connections._account_owner_service
import time:       301 |        301 |           stripe.financial_connections._account_ownership
import time:       431 |        431 |           stripe.financial_connections._account_service
import time:       471 |        471 |           stripe.financial_connections._session
import time:       385 |        385 |           stripe.financial_connections._session_service
import time:       400 |        400 |           stripe.financial_connections._transaction
import time:       333 |        333 |           stripe.financial_connections._transaction_service
import time:       268 |       4219 |         stripe.financial_connections
import time:        14 |       4232 |       stripe.financial_connections._account_service
import time:       236 |       4467 |     stripe._financial_connections_service
import time:       718 |        718 |           stripe.forwarding._request
import time:       367 |        367 |           stripe.forwarding._request_service
import time:       250 |       1334 |         stripe.forwarding
import time:        13 |       1346 |       stripe.forwarding._request_service
import time:       268 |       1614 |     stripe._forwarding_service
import time:      1009 |       1009 |           stripe.identity._verification_report
import time:       323 |        323 |           stripe.identity._verification_report_service
import time:       980 |        980 |           stripe.identity._verification_session
import time:       567 |        567 |           stripe.identity._verification_session_service
import time:       261 |       3137 |         stripe.identity
import time:        13 |       3150 |       stripe.identity._verification_report_service
import time:       248 |       3398 |     stripe._identity_service
